"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"FishingStatus","2017-04-06 13:02","0","2","Spring In Homosassa... (Crystal River, FL): A beautiful spring day with the Sugarmill gang on board and Roland, http://fishingstatus.com/home/details/indexId/1240348?utm_source=dlvr.it&utm_medium=twitter pic.twitter.com/PyourVfZlP","","","","849970488369479680","https://twitter.com/FishingStatus/status/849970488369479680"
"cruiseoptics","2017-04-06 11:48","0","0","Fact is only the rapist is at fault and the criminal. @Boynton Beach, Florida https://www.instagram.com/p/BSivTyFBgS-/","","@Boynton","","849952062305587201","https://twitter.com/cruiseoptics/status/849952062305587201"
"jcurry528","2017-04-06 11:39","0","0","How I wish I was standing in front of this wall right now. See the stepsisters faces? They're https://www.instagram.com/p/BSiuNF-FGv2/","","","","849949639256276992","https://twitter.com/jcurry528/status/849949639256276992"
"WallUnitBrand","2017-04-06 11:11","0","0","#largestwallunits #wallunitwarehouse #jupiter Another Great Wall unit install. @Bayhill Estates https://www.instagram.com/p/BSirAF1j5xM/","","@Bayhill","#largestwallunits #wallunitwarehouse #jupiter","849942588018892800","https://twitter.com/WallUnitBrand/status/849942588018892800"
"tightmikecomedy","2017-04-06 01:54","1","1","Hanging with the Comedy fam... @kenmiller30 akeemwoods @jersey_hotcomic @mykeherlihy @Wall https://www.instagram.com/p/BShrRxzg8KV/","","@kenmiller30 @jersey_hotcomic @mykeherlihy @Wall","","849802455407788034","https://twitter.com/tightmikecomedy/status/849802455407788034"
"FloridaPlunge","2017-04-06 01:36","1","1","My favorite wall mural. #centralflorida splitsvillebowl #orlando #disneysprings @Splitsville - https://www.instagram.com/p/BShpPOmj2QB/","","@Splitsville","#centralflorida #orlando #disneysprings","849797974934900737","https://twitter.com/FloridaPlunge/status/849797974934900737"
"connorquaschnik","2017-04-05 21:45","0","0","Hey look, it's one of those Disney Walls. Let's call this one the ocean blue wave wall. https://www.instagram.com/p/BShOvJoAYpq/","","","","849739692983693312","https://twitter.com/connorquaschnik/status/849739692983693312"
"LeksiTalksALot","2017-04-05 17:43","0","1","Universal wall photo outtakes (featuring @hecallsmePP' arm). #Universal #UOAP #Simpsons https://www.instagram.com/p/BSgzFiYABT8/","","@hecallsmePP","#Universal #UOAP #Simpsons","849678889349787651","https://twitter.com/LeksiTalksALot/status/849678889349787651"
"yitibit","2017-04-05 17:41","0","0","Doing some low cost ADR hacker style. Furni pads on the ground and the wall behind. Not too bad https://www.instagram.com/p/BSgyzoFFK6G/","","","","849678281796464641","https://twitter.com/yitibit/status/849678281796464641"
"inasofroni","2017-04-05 16:57","0","0","When the wall watches your pants. #polkadots #stars @Tampa Museum https://www.instagram.com/p/BSgtzEsBuSkjXUO6RUV8fHI93DlLUfP9Gg7GRM0/ ","","@Tampa","#polkadots #stars","849667262277537793","https://twitter.com/inasofroni/status/849667262277537793"
