"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"RookWorx","2017-03-11 00:20","0","0","G34 Gen 4: Carbide Grip Package/ Recessed Border/ Trigger Guard Profiled Cerakote by Red Letter https://www.instagram.com/p/BRej3CXlBRR/","","","","840356740822622208","https://twitter.com/RookWorx/status/840356740822622208"
"msbeautiful521","2017-03-10 21:40","0","0","I Love My Grandma. She has both her Husband and HER EX Man on the same wall...... https://www.instagram.com/p/BReRfZPFiMq/","","","","840316382550077440","https://twitter.com/msbeautiful521/status/840316382550077440"
"tamarawellons","2017-03-08 15:29","0","0","Tonight! Underground WGN ... can't wait to tune in. ""It is criminal to teach a man not to https://www.instagram.com/p/BRYdfZlhpmg/","","","","839498302882197504","https://twitter.com/tamarawellons/status/839498302882197504"
"CodyMRoss","2017-03-06 20:51","0","3","~Music is my drug~ @United States https://www.instagram.com/p/BRT4znFguU3/","","@United","","838854684400041985","https://twitter.com/CodyMRoss/status/838854684400041985"
"mark_makela","2017-03-06 20:07","0","0","cracked patriotism (with some to surely cite that registered slogan: Make America Great Again) https://www.instagram.com/p/BRTzv_OBk8B/","","","","838843562364035072","https://twitter.com/mark_makela/status/838843562364035072"
"j5uliana","2017-03-06 19:51","0","1","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/jSsk911fSO8","","","","838839570192031748","https://twitter.com/j5uliana/status/838839570192031748"
"mommydaddykm","2017-03-03 22:36","0","0","I look high buh tweek gang @_asia_boo_ @United States https://www.instagram.com/p/BRMWV1hgIWD/","","@_asia_boo_ @United","","837793736570597376","https://twitter.com/mommydaddykm/status/837793736570597376"
"j5uliana","2017-03-03 19:39","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/aAMQbU5Xodx","","","","837749183843086337","https://twitter.com/j5uliana/status/837749183843086337"
"j5uliana","2017-03-01 00:47","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/l8IWNkK6L1C","","","","836739711280500737","https://twitter.com/j5uliana/status/836739711280500737"
"AubreyNicole07","2017-02-28 19:54","0","0","You're the only one I'd cross the Missouri-Kansas border for @ https://www.instagram.com/p/BREVTLmD5Yo5yFiqX8mV9ocaKwl6Rgi0Y8xfis0/ ","","@","","836665806020816901","https://twitter.com/AubreyNicole07/status/836665806020816901"
"aemp251","2017-02-28 06:22","0","0","#rp from @DGBastard - Hustle Gang's @1dopeboyra drops the visual to ""LAWD"" Out now #DGB @ https://www.instagram.com/p/BRC4ewADjoR/","","@DGBastard @1dopeboyra @","#rp #DGB","836461435819556865","https://twitter.com/aemp251/status/836461435819556865"
"PiergNunez","2017-02-28 04:40","0","0","#unitedstates #texas #goodvibes This place is increble... But nothing like my Mexico. https://www.instagram.com/p/BRCs2GrDSE2/","","","#unitedstates #texas #goodvibes","836435841966813184","https://twitter.com/PiergNunez/status/836435841966813184"
"geezy_febreezy","2017-02-27 01:37","0","0","Glo up from the Flo up [to the top of the wall] #NightClimb @KSU Recreational Center https://www.instagram.com/p/BQ_zFpfljWr/","","@KSU","#NightClimb","836027365360828418","https://twitter.com/geezy_febreezy/status/836027365360828418"
"WildWayno","2017-02-26 00:25","0","0","Dinner with Janice. Been awhile. (@Jose Pepper's Border Grill and Cantina in Wichita, KS) https://www.swarmapp.com/c/kaJw2kxkYIq","","@Jose","","835646956789723137","https://twitter.com/WildWayno/status/835646956789723137"
"LoonyBinWichita","2017-02-25 03:21","0","0","The artsy is on the wall. The fartsy starts at midnight. Don't miss Tim Maggard's Final Friday https://www.instagram.com/p/BQ61bn0Dkbj/","","","","835328823881236480","https://twitter.com/LoonyBinWichita/status/835328823881236480"
"j5uliana","2017-02-24 20:42","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/hJntKmNCYNg","","","","835228480472240132","https://twitter.com/j5uliana/status/835228480472240132"
"LegiScanKS","2017-02-24 04:16","0","0","SB149 [Engross] Enacting rules for briefs in a criminal matter or postconviction case in the supreme court or cou... http://bitly.com/WvAIcD","","","","834980183572635648","https://twitter.com/LegiScanKS/status/834980183572635648"
"matt_mcfarren","2017-02-24 02:40","0","2","Our Ishmaelite biker gang for Joseph's Amazing Technicolor https://www.instagram.com/p/BQ4L9StBq5b5fD3opChAxAaMUMWqNiz6lW9-EI0/ ","","","","834956147010351105","https://twitter.com/matt_mcfarren/status/834956147010351105"
"syed32701","2017-02-24 01:38","0","0","Ck this #trumps #immigration @syed32701 @United States https://www.instagram.com/p/BQ4E5XflmSU/","","@syed32701 @United","#trumps #immigration","834940623362863104","https://twitter.com/syed32701/status/834940623362863104"
"LegiScanKS","2017-02-23 23:46","0","0","SB112 [Engross] Reducing the penalty for unlawful possession of drug paraphernalia and making burglary of a dwell... http://bitly.com/YyKU2v","","","","834912345004642308","https://twitter.com/LegiScanKS/status/834912345004642308"
"LegiScanKS","2017-02-23 23:16","0","0","SB42 [Engross] Clarifying criminal sentencing for certain persons subject to a mandatory minimum term of imprison... http://bitly.com/XI2dxN","","","","834904899729166336","https://twitter.com/LegiScanKS/status/834904899729166336"
"KIngramMCC","2017-02-22 22:05","0","0","East wall done...north wall's begun! #mccks #nextgeneration @ https://www.instagram.com/p/BQ1HoqHBMMcc8x8yFZEKUiXlu1rEYKHwkF2bUs0/ ","","@","#mccks #nextgeneration","834524428679589888","https://twitter.com/KIngramMCC/status/834524428679589888"
"nonmatingpanda","2017-02-22 21:33","0","0","a counter-wall fill fabrication you could eat off of. @Manhattan, Kansas https://www.instagram.com/p/BQ1D-hCAMZP/","","@Manhattan","","834516385250304003","https://twitter.com/nonmatingpanda/status/834516385250304003"
"j5uliana","2017-02-22 19:18","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/e3eJZrxbDR7","","","","834482572692508672","https://twitter.com/j5uliana/status/834482572692508672"
"KIngramMCC","2017-02-21 18:10","1","5","South wall...done! Exciting progress each week on our new activity https://www.instagram.com/p/BQyIAwvBsApkSZCZELUUbCgU9GrTRAqhE1nSp80/ ","","","","834103045398990848","https://twitter.com/KIngramMCC/status/834103045398990848"
"ThreadTees","2017-02-21 02:33","0","2","It's almost here, gang... join us this Saturday, Feb. 25 as we kick off the start of the green https://www.instagram.com/p/BQwcu0ElDVT/","","","","833867136208666625","https://twitter.com/ThreadTees/status/833867136208666625"
"misheleneous","2017-02-20 09:30","0","0","REPOST! Cute doesnt come any cuter! regrann from the cutest sierra.the.border.terrier - I love https://www.instagram.com/p/BQunsH7D_Do/","","","","833609786323263488","https://twitter.com/misheleneous/status/833609786323263488"
"fierygremlin","2017-02-18 19:06","0","0","Being a fatty today! Fajita nachos! @On The Border Mexican Grill & Cantina https://www.instagram.com/p/BQqgASsjqjm/","","@On","","833029907844300802","https://twitter.com/fierygremlin/status/833029907844300802"
"fierygremlin","2017-02-18 19:02","0","0","Day drinkin! @CJArtman32 @On The Border Mexican Grill & Cantina https://www.instagram.com/p/BQqfjrTDupY/","","@CJArtman32 @On","","833028922103234560","https://twitter.com/fierygremlin/status/833028922103234560"
"LegiScanKS","2017-02-17 06:16","0","0","SB200 [NEW] Open records act; criminal investigation records; missing persons. http://bitly.com/WLLAmH","","","","832473721059160065","https://twitter.com/LegiScanKS/status/832473721059160065"
"HelloKimMarie","2017-02-17 02:59","0","0","""You know, and it gets into this whole issue of border security, you know, who's gonna say that https://www.instagram.com/p/BQmMiekDk09/","","","","832424151008829442","https://twitter.com/HelloKimMarie/status/832424151008829442"
"nellysrant","2017-02-16 03:56","0","1","There's no easy solution or a simple answer to our immigration issue. I truly want the https://www.instagram.com/p/BQjuRPml105/","","","","832076116995219456","https://twitter.com/nellysrant/status/832076116995219456"
"vickimarie44","2017-02-13 23:37","0","0","Lies are the super power of this regime, and 45's gang of liars churns them out with escalating https://www.instagram.com/p/BQeHCsKj2i2/","","","","831286165143744513","https://twitter.com/vickimarie44/status/831286165143744513"
"vickimarie44","2017-02-13 23:32","0","0","Lies are the super power of this regime, and 45's gang of liars churns them out with escalating https://www.instagram.com/p/BQeGeqyDYFB/","","","","831284925722685440","https://twitter.com/vickimarie44/status/831284925722685440"
"syed32701","2017-02-13 20:13","0","0","#1 ""Don't be a ass Kisser"" The United States Department Of Immigration Has Deported The Hispanic https://www.instagram.com/p/BQdvrdDA_er/","","","#1","831234786077323264","https://twitter.com/syed32701/status/831234786077323264"
"amit1chahal","2017-02-13 18:41","0","0","US Immigration #usa #states #immigration #smartboys #jokes #funnyshit #funny #funnyclips https://www.instagram.com/p/BQdlKU0gIST/","","","#usa #states #immigration #smartboys #jokes #funnyshit #funny #funnyclips","831211655904247810","https://twitter.com/amit1chahal/status/831211655904247810"
"larrylanski","2017-02-13 01:23","0","0","The Gang's ALL HERE!!!!...So Good to see this group of #BEAUTIFUL PEOPLE TODAY...Not sure if you https://www.instagram.com/p/BQbuYyCgRP0/","","","#BEAUTIFUL","830950469828767745","https://twitter.com/larrylanski/status/830950469828767745"
"stateofemotions","2017-02-12 01:19","1","0","Fear. Kids of immigrants are clearly traumatized by what's going on by immigration changes. https://www.instagram.com/p/BQZJMQUgrZo/","","","","830587199116759048","https://twitter.com/stateofemotions/status/830587199116759048"
"nonmatingpanda","2017-02-10 20:35","0","0","needs to move. #reclaimed Southpaw George wall art. $50 o.b.o. cash in-hand. will deliver. @ https://www.instagram.com/p/BQWD2lvgyRt/","","@","#reclaimed","830153247826538496","https://twitter.com/nonmatingpanda/status/830153247826538496"
"LegiScanKS","2017-02-10 03:36","0","0","HB2339 [NEW] Exemption from criminal possession of a silencer. http://bitly.com/Z1faDn","","","","829896773330202625","https://twitter.com/LegiScanKS/status/829896773330202625"
"LegiScanKS","2017-02-09 04:16","0","0","HB2093 [Engross] Allowing certain juvenile adjudications to decay from criminal history. http://bitly.com/W3Fuhk","","","","829544600943607808","https://twitter.com/LegiScanKS/status/829544600943607808"
"LegiScanKS","2017-02-09 04:07","0","0","HB2035 [Engross] Clarifying the subject matter of criminal post-trial motions for correction of sentence. http://bitly.com/XJVrrg","","","","829542281581559808","https://twitter.com/LegiScanKS/status/829542281581559808"
"LoonyBinWichita","2017-02-08 22:32","0","0","We're doing it again... come see jokesaretim and his gang of misfits this Final Friday. Local https://www.instagram.com/p/BQRHo6gAu--/","","","","829457890046009350","https://twitter.com/LoonyBinWichita/status/829457890046009350"
"LegiScanKS","2017-02-07 03:17","0","0","SB157 [NEW] Kansas highway patrol; immigration agreement. http://bitly.com/Wz93aO","","","","828804792747167745","https://twitter.com/LegiScanKS/status/828804792747167745"
"LegiScanKS","2017-02-06 17:26","0","0","HB2049 [Engross] Increasing criminal penalties for crimes committed against a law enforcement officer; the law en... http://bitly.com/W1Ejif","","","","828656174052446208","https://twitter.com/LegiScanKS/status/828656174052446208"
"rach_bos","2017-02-05 21:42","0","0","You and I are more than friends. We're like a really small gang.   (Yes, I'm reposting this https://www.instagram.com/p/BQJTjPqhdwh/","","","","828358180358942720","https://twitter.com/rach_bos/status/828358180358942720"
"liznaf","2017-02-05 16:20","0","0","Trump campaigned against Wall Street and attacked Hillary for being in their pockets. We see https://www.instagram.com/p/BQIuQ59D_ft/","","","","828277096199909379","https://twitter.com/liznaf/status/828277096199909379"
"SheldonPegram","2017-02-05 02:21","0","0","Just posted a photo @On The Border Mexican Grill & Cantina https://www.instagram.com/p/BQHOqR5lQF9/","","@On","","828065957536989184","https://twitter.com/SheldonPegram/status/828065957536989184"
"Bigtrashday","2017-02-04 20:16","0","0","We are a very small gang @The Garden Oasis https://www.instagram.com/p/BQGk4OCALtWsXCk7rQRsxNI-Xmodb0hqCsidEk0/ ","","@The","","827974075947610112","https://twitter.com/Bigtrashday/status/827974075947610112"
"LegiScanKS","2017-02-03 23:27","0","0","HB2271 [NEW] Clarifying the criminal sentencing statute for a person with intellectual disability who is convicte... http://bitly.com/YKyVPp","","","","827659682013642752","https://twitter.com/LegiScanKS/status/827659682013642752"
"LegiScanKS","2017-02-03 18:36","0","0","SB149 [NEW] Enacting rules for briefs in a criminal matter or postconviction case in the supreme court or court o... http://bitly.com/WvAIcD","","","","827586498379780096","https://twitter.com/LegiScanKS/status/827586498379780096"
"LegiScanKS","2017-02-03 18:16","0","0","SB151 [NEW] Eliminating criminal and professional penalties for non-intoxicating cannabinoid medicines. http://bitly.com/YK57SV","","","","827581594667991041","https://twitter.com/LegiScanKS/status/827581594667991041"
"LegiScanKS","2017-02-02 07:26","1","0","SB122 [NEW] Increasing the penalty for certain violations of criminal discharge of a firearm. http://bitly.com/YBmk0N","","","","827055515322707969","https://twitter.com/LegiScanKS/status/827055515322707969"
"LegiScanKS","2017-02-02 03:56","0","0","SB128 [NEW] Increasing criminal penalties for hate crimes and establishing reporting requirements for law enforce... http://bitly.com/WsMJ2g","","","","827002760310693888","https://twitter.com/LegiScanKS/status/827002760310693888"
"_MikeSeeArt","2017-02-01 15:36","0","0","""Trumpty Dumpty and his Great Wall"" completed and framed in the very best gold frame from https://www.instagram.com/p/BP-WgVfh_g9/","","","","826816566201184256","https://twitter.com/_MikeSeeArt/status/826816566201184256"
"LegiScanKS","2017-02-01 12:26","0","0","HB2216 [NEW] Removing sodomy between consenting members of the same sex from criminal sodomy. http://bitly.com/YBvYR9","","","","826768611364716544","https://twitter.com/LegiScanKS/status/826768611364716544"
