"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"zeketomaselli","2017-03-28 21:59","0","0","The final front wall is being painted. I've been complaining about https://www.instagram.com/p/BSMqCe7D_qnhz6w3q7EnxmVTPpOidSnlTSj30g0/ ","","","","846844249236746240","https://twitter.com/zeketomaselli/status/846844249236746240"
"doctordenel","2017-03-16 06:22","0","2","I #painted on #my #wall #today... #glow in the #dark #paint #art #mandala #facing #east @ https://www.instagram.com/p/BRsFMr6Dhuf/","","@","#painted #my #wall #today #glow #dark #paint #art #mandala #facing #east","842259636283703296","https://twitter.com/doctordenel/status/842259636283703296"
"spratschner","2017-03-13 04:30","0","0","Caught a #wave crashing into the surf wall along #kailuakona at #sunset #bigisland #hawaii https://www.instagram.com/p/BRkKBhqDmPn/","","","#wave #kailuakona #sunset #bigisland #hawaii","841144342521737216","https://twitter.com/spratschner/status/841144342521737216"
"peiclamdigger","2017-03-07 07:59","0","0","Wall art looking like a postage stanp #wallart #postagestamps #artmakeslifebearable https://www.instagram.com/p/BRVFQdZgah4/","","","#wallart #postagestamps #artmakeslifebearable","839022796239949824","https://twitter.com/peiclamdigger/status/839022796239949824"
"johnendriss","2017-03-02 03:29","0","0","Fun small project of the day: office guitar wall stand installed. Thanks mauigatorfan for https://www.instagram.com/p/BRHuXb2DuSL/","","","","837142875347496960","https://twitter.com/johnendriss/status/837142875347496960"
"kuhao","2017-02-20 01:22","0","1","WAKEA & PELE GANG. . Two days of smart people, theories, supporting statements and Po Chai https://www.instagram.com/p/BQtv5UnD51I/","","","","833487064977068032","https://twitter.com/kuhao/status/833487064977068032"
"peiclamdigger","2017-02-06 03:40","0","0","Wall Art #streetart #wallart #stunner #girlpower #sheslookingatyou @Hilo, Hawaii https://www.instagram.com/p/BQJ8i6DDSZP/","","@Hilo","#streetart #wallart #stunner #girlpower #sheslookingatyou","828448330803998720","https://twitter.com/peiclamdigger/status/828448330803998720"
"Shadow88","2017-02-02 01:22","0","1","What're the odds that they'd seat us next to this wall here in Hilo? https://www.instagram.com/p/BP_ZhlohcOWuXWQjLAvho5ZNP1UNKmRc0nMmAA0/ ","","","","826963941460840448","https://twitter.com/Shadow88/status/826963941460840448"
