source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|Great Strategic &amp; Policy CEO Forum today with my Cabinet Secretaries and top CEO's from around the United States.… https://t.co/pmGIL08OpP|04-11-2017 20:27:35|8723|43875|false|851894518014238720
Twitter for iPhone|Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare &amp; Tax Cuts (Reform).|04-11-2017 12:59:20|12262|58666|false|851781714028494849
Twitter for iPhone|North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.|04-11-2017 12:03:43|53328|136091|false|851767718248361986
Twitter for iPhone|I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!|04-11-2017 11:59:04|19145|81554|false|851766546825347076
Twitter for iPhone|RT @foxnation: Grateful Syrians React To @realDonaldTrump Strike: 'I'll Name My Son Donald' https://t.co/7KexXsXLUx #SyrianStrikes|04-11-2017 11:48:31|6245|0|true|851763890786635776
Twitter for iPhone|Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach|04-10-2017 23:56:35|16731|89320|false|851584729400979456
Twitter Ads|Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS|04-10-2017 21:59:10|15760|79752|false|851555178910064640
Twitter for iPhone|Thank you @USNavy! #USA https://t.co/oD7L8vPgjq|04-10-2017 01:35:45|14540|71754|false|851247294854856706
Twitter for iPhone|...confidence that President Al Sisi will handle situation properly.|04-09-2017 15:21:07|10391|56646|false|851092618754891781
Twitter for iPhone|So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great...|04-09-2017 15:20:39|15606|77604|false|851092500056072198
Twitter for iPhone|Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!|04-08-2017 19:58:32|18538|101425|false|850800045012201473
Twitter for iPhone|The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!|04-08-2017 19:00:08|11769|61631|false|850785347038576640
Twitter for iPhone|Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.|04-08-2017 14:54:24|27363|135259|false|850723509370327040
Twitter for iPhone|...goodwill and friendship was formed, but only time will tell on trade.|04-08-2017 14:51:10|7231|48718|false|850722694958075905
Twitter for iPhone|It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...|04-08-2017 14:50:59|10521|67145|false|850722648883638272
Twitter for iPhone|RT @IvankaTrump: Very proud of Arabella and Joseph for their performance in honor of President Xi Jinping and Madame Peng Liyuan's official…|04-07-2017 23:22:53|15195|0|true|850489084221018113
Twitter for iPhone|It was an honor to host our American heroes from the @WWP #SoldierRideDC at the @WhiteHouse today with @FLOTUS, @VP… https://t.co/u5AI1pupVV|04-06-2017 18:30:49|10767|60570|false|850053194923298816
Twitter for iPhone|JOBS, JOBS, JOBS!https://t.co/XGOQPHywrt https://t.co/B5Qbn6llzE|04-06-2017 02:12:43|23000|83555|false|849807049118625792
Twitter Ads|I am deeply committed to preserving our strong relationship &amp; to strengthening America's long-standing support for… https://t.co/GxrOR3ALCE|04-05-2017 21:18:08|13159|67325|false|849732911377117185
Twitter for iPhone|Great to talk jobs with #NABTU2017. Tremendous spirit &amp; optimism - we will deliver! https://t.co/6lRuQZZHrc|04-04-2017 21:03:51|9150|49321|false|849366930133839872
Twitter Ads|Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj|04-04-2017 19:38:59|9447|48800|false|849345573509574665
Twitter for iPhone|.@WhiteHouse #CEOTownHall➡️https://t.co/ADSKuUXf1b https://t.co/XHfQ6zmF2H|04-04-2017 18:38:13|8409|38111|false|849330281412792320
Twitter for iPhone|RT @DRUDGE_REPORT: RICE ORDERED SPY DOCS ON TRUMP? https://t.co/bL2nZRFxk9|04-04-2017 12:39:16|11466|0|true|849239946653290496
Twitter for iPhone|It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership betwe… https://t.co/9mRaGvcPHz|04-03-2017 19:39:05|13265|58198|false|848983209580822529
Twitter for iPhone|Looking forward to hosting our heroes from the Wounded Warrior Project (@WWP) Soldier Ride to the @WhiteHouse on Th… https://t.co/QLC0qFD94x|04-03-2017 17:56:55|11042|56195|false|848957498040217603
Twitter for iPhone|Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.|04-03-2017 16:00:33|12841|76027|false|848928217138384896
Twitter for iPhone|.@FoxNews from multiple sources: "There was electronic surveillance of Trump, and people close to Trump. This is unprecedented." @FBI|04-03-2017 12:51:01|22045|69597|false|848880519458717698
Twitter for iPhone|Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!|04-03-2017 11:21:11|27505|108357|false|848857910297980928
Twitter for iPhone|Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?|04-03-2017 11:16:52|20532|71599|false|848856822312292354
Twitter for iPhone|Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. "Spied on before nomination." The real story.|04-03-2017 10:15:17|19995|73263|false|848841326183534594
Twitter for iPhone|Melania and I are honored to light up the @WhiteHouse this evening, for #WorldAutismAwarenessDay. Join us &amp; #LIUB.… https://t.co/tR3hqqyWvv|04-03-2017 00:58:29|25161|113112|false|848701201315188736
Twitter for iPhone|The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.|04-02-2017 13:34:16|21334|82776|false|848529014667055105
